,speech,party,prediction
31662,"I have had my opportunity to speak in the five-day debate, but many Members have not, and the position they have been put in is unclear and, indeed, entirely unacceptable. Democracy delayed is democracy denied. The Prime Minister is playing a potentially catastrophic hand by delaying the vote on her deal, as has been outlined repeatedly during this debate. It is abundantly clear that her tactic is, yet again, to delay and delay until, at the very last chance, we are railroaded into accepting her deal—reducing the meaningful vote into this meaningless mess. Today, the Prime Minister is hawking her views around the 27 again, which is futile. The deal itself is not negotiable, as we have heard. The Prime Minister may  get the appearance of a clarification on the political statement, but despite all its fine words, the political statement is just a statement of intent. She will satisfy no one. I believe a motion of no confidence should be brought forward at the earliest possible opportunity to provide enough time to pursue another course. For us in Plaid Cymru, the Prime Minister’s actions make the case for a people’s vote all the stronger. That vote must be a choice between the deal that is on the table and to remain. There is no majority in this place for anything else, such as the fantasy of our leaving with no deal at all. Significantly, the Prime Minister’s deal has been decisively rejected by both the Welsh Assembly and the Scottish Parliament. It must be put to the people. The no deal option is not acceptable to this House, and from his words earlier, neither is it acceptable to the Chancellor of the Duchy of Lancaster. We would not be at liberty to do as we please in the world, as some suppose, and it would be disastrous for the people of the United Kingdom, particularly poorer people and those in areas seen as peripheral. As an example, I am thinking in particular of farming in Wales. Tariffs against our farming interests would devastate the industry both in Wales and through much of upland Britain. Finally, we must not be satisfied just to remain. Wales and other parts of the UK have suffered enough from poverty, and from the austerity that has provided advantages for the few and fundamental economic injustice. This crisis must be a turning point. A vote to remain has to be a vote to reform, to renew and to regenerate; it cannot be a vote simply for the Europe that is, but for the Europe that can be—social, democratic, decentralised and diverse.",plaid-cymru,plaid-cymru
25177,"I am not a London Member, but I am a London resident and have been for 35 years, and I am listening with mounting horror to the narrative being developed by the hon Gentleman. I was one of those who opposed the disaster that almost sank—I hope hon Members forgive the pun—the London underground last time out. What I am asking myself as I listen to him is: where are all the other London Members of Parliament? Why is this Chamber almost deserted, on both sides?I have not intervened in the London mayoralty yet either, but I keep reading of the very Members the Minister has just adumbrated. Is it a coincidence that absolutely none of them is here?Back in 1967—better days in many respects—in the era of Slater Walker and the rest, was not this kind of thing called asset stripping? Is the Bill not just an asset-strippers charter?I, too, am a signatory to the new clause, but I, too, am persuaded by the hon Member for Hammersmith  in this regard. The hon Member for Hayes and Harlington  is being unusually moderate and reasonable, and he keeps saying that he does not want to insinuate anything about TfL or about the Mayor, so I wonder whether this is indeed a mayoral election speech we are hearing.I do not want to go off the rails that Madam Deputy Speaker has just set, but this “Mind the gap” that the hon Gentleman is crying goes to the heart of the matter. Is not new clause 1 the place to deal with this? The Bill is driven by the gap that the Government and the Department for Transport have indicated to this Mayor of London—any Mayor of London—and the Mayor and TfL are being driven to asset-strip public assets. Left-wing thinking has moved on. Even the hon Gentleman’s left-wing thinking has moved on. In principle we are not against public bodies earning money from non-performing assets that they hold, but we are not prepared to do so in secrecy and using dodgy vehicles in the Channel islands or parts even more exotic than that.On a point of order, Madam Deputy Speaker. This is a zombie Parliament and this is a grand—This is a grand theft auto Bill concerning billions of pounds of public assets. A closure motion was moved after just over an hour, which the Opposition did not turn up for, except in the case of 14 people, and now the Minister will not even speak on the matter. What kind of Parliament is this?This has not been our finest hour, as I tried to say in a point of order just 10 minutes or so ago. The hon Member for Blackpool South  drew attention to the dog that did not bark in the form of the Minister, but there have been other dogs that have not barked or even turned up. In a short speech, that is the first point I should like to make. I am not a London Member, but I am a user of London transport and I have been a resident of London for 35 years. My eye was caught by this item of business because of a strong point of view I have about Earls Court. I expected to come into a packed Chamber. I especially expected to come into a Chamber packed with London Members of Parliament, but they have been very thin on the ground, with the honourable exceptions of my hon Friends the Members for Hayes and Harlington  and for Islington North  on either side of me, and the hon Member for Hammersmith  who unavoidably had to leave. That, however, has been the size of it. That is truly extraordinary given the importance of this measure. This is, potentially, a grand theft auto Bill. It deals with 3,000 properties. I have no idea of their value because no figure has been published. Taking a rudimentary guess, I think TfL—about which more later—will have £3 billion, £4 billion or £5 billion of potentially disposable public assets, with almost no transparency or accountability, and no discussion or negotiation with other stakeholders. By anyone’s standards, this is truly a remarkably important measure. It is more important even than I had thought before entering the Chamber. As I listened with horror to the narrative developed by my hon Friend the Member for Hayes and Harlington, it took me back—your esteemed father was there, Mr Deputy Speaker, as was Madam Deputy Speaker who was in the Chair a moment ago, as she was in the Treasury at the time—to when the Treasury forced the then Mayor of London, Ken Livingstone, down the road of a private finance initiative that came within an ace of sinking the London underground and costing the taxpayer £3 billion.It was indeed a PPP, not a PFI—that alphabet soup is frequently jumbled in my mind. However, my hon Friend is absolutely correct. If we had had proper scrutiny at the time, rather than the dragooning of Labour Members into supporting the Treasury position, it would have been exposed far earlier. With the new clauses and amendments, and with the arguments made this evening, we have tried to expose folly on a potentially even larger scale. My hon Friend’s speech was truncated rather ham-fistedly—if the promoter of the Bill will forgive my saying so—such that it did not achieve what the promoter wanted; it just made my hon Friend, our expert on these matters, sit down, but we are still discussing what he was proposing. And this was after only one hour and 10 minutes. His argument was forensic. As I have often opined in here, Government Members do not like it up them—some of them do, that is true, but the promoter of the Bill did not, and it was because arrow after arrow of logic and forensic examination from my hon Friend was hitting home that the attempt to close down the debate was mounted. “Mind the gap” is the rubric to remember. This is all about the gap in funding from central Government to Transport for London and closing that gap through the disposal of public assets. I said earlier in an intervention that on these matters left-wing thinking has moved on—even such left-wing thinking as that personified by my hon Friend. We are not against making non-performing public assets perform in one way or another, although, as my hon Friend the Member for Islington North pointed out, we do not want them performing in such a way that they can never again be used to perform the purpose for which they were originally intended, which in this case, of course, is to provide transport for London—the clue being in the name. In other words, we do not want land disposed of in a way that Transport for London can no longer control, so that assets are lost forever. We are not against making public assets perform, if they are not necessary now—or perhaps even for many years and decades in the future—but we have certain conditions, and one of them has to be transparency.I can think of only one reason why they would be so opposed—public outrage would result. I am absolutely sure, in respect of the Earls Court development, to which I am about to turn, that had the public been properly informed about its development, public opposition to what in many respects is an act of vandalism would not have permitted the development—or at least the political cost would have been much higher. On the subject of transparency, the promoter of the Bill is simply wrong. He said he was against a list because it would be too expensive, but then, in the same breath, he said that there was a list, and he prayed in aid the existence of a Greater London assembly. However, the assembly’s budget committee, no less, told the Committee—the House of Commons—that it had had to go to law, through freedom of information searches, to force Transport for London, which nominally it is supposed to supervise, to give it any information at all. So transparency is definitely not the middle name of Transport for London, and as long as that is the case, a suspicion will linger that grand theft auto is the game. We have a right to say that if a public authority—in this case, Transport for London—is to get into bed with the private sector, the bed partners should be reputable and transparent and located here in Britain and paying tax in Britain. We know that in the case of Earls Court that is not true. Why do companies locate in the Channel Islands? Because they prefer the climate, or because they prefer the opaque nature of taxation matters there? Surely we all know, given what has happened over the past few years, exactly why these cowboy developers locate themselves as far from public scrutiny, media scrutiny and the rest as they possibly can. I said that I would turn to Earls Court and I shall, but I notice that the brother of the Mayor has just left the Chamber. I had wanted him to be here when I said this. Forgive me, I have to say it: if public authorities and elected figures are going to play fast and loose, potentially, with large sums of public money, it is crucial that the public have trust in that institution or those public figures, but I do not believe that that trust exits when it comes to Transport for London or the current Mayor. I can speak ill of him now, but perhaps not in the new Parliament, should he be elected—no doubt you would be on your feet, Mr Deputy Speaker, and telling me to sit down. However, I do not believe that the conduct of public affairs by Boris Johnson over the past five years, or four years—of course he is going to continue breaking a promise in both offices—or the conduct of Transport for London—I stand corrected, Mr Deputy Speaker. That leads me to my last point. The Earls Court exhibition centre was a particular favourite of mine—I declare that interest: I have skated in it, I have shopped for my ideal home in it, I have listened to Bob Dylan in it several times. It was an act of vandalism to have it closed, but even worse was the loss of hundreds of TfL jobs—skilled jobs, real jobs, jobs that most Members have no idea how to do, jobs where men and women make things and fix things. Those jobs were cleansed out of central London. That was an absolute outrage. Even worse than that is the fact that hundreds and hundreds of affordable homes were cleansed from Earl’s Court to be replaced by apartments so lavish and so expensive that even Members of Parliament could not afford to live in them, let alone the local people whose housing stock was devastated at a stroke. That was all done with virtually no public scrutiny or accountability, and certainly no offer was made to other public authorities for the use of this land, as was the case prior to legislation in the 1980s, as my hon Friend the Member for Islington North said. It really is an outrage—but it is, we fear, a sign of things to come. If this new clause is not passed and these amendments are not taken on board—no concession has been made from the other side—we fear that a sweetheart relationship between TfL and the Mayor, any Mayor, will exist to the detriment of the railway workers and of the bus workers whom I was proud to represent here in Parliament for many years as an MP sponsored by the Transport and General Workers Union. Local people, whose homes are razed as a result of these sweetheart deals, will be disadvantaged. What will be prejudiced most of all is the strategic need to keep London moving smoothly, economically and cheaply for the millions who depend on public transport.A railroad.Just before the hon Gentleman concludes—and being mindful of your stricture, Mr Deputy Speaker—is not the point that this is a Bill to sell off the family silver, as Harold Macmillan famously put it, and we can only sell off the family silver once?That is the point that struck me between the eyes. I am talking about having words such as “risk” and “hedging” in a private measure. Surely we have learned enough about the risk at the hands of private individuals and about the grave economic consequences to argue that this matter should be postponed until the next Government, when the state and the civil service can give it proper attention.",respect,labour
27655,"Is not the crux of the issue that we see a clear a breach of contract? If this were a private pension company that unilaterally changed the pension conditions of 2.6 million ladies in this country, this House would quite rightly be up in arms. Those ladies want only to have that contract mitigated fairly. Surely the Government should listen to the 2.6 million ladies in this country, and act now.",scottish-national-party,labour
13943,"The facts of the situation were that the provision on the face of the Bill was for three months' detention but at the key stage of the Bill, two amendments were listed. One changed the limit from three months to 90 days and the other changed it to 28 days. Those were the only two options on offer. When the Government's 90 day amendment was defeated, the 28 day amendment was the only way that anybody had of preventing the limit from staying at three months.The right hon Member for Haltemprice and Howden  treated us to a medley of his greatest hits from previous debates, and the shadow Home Secretary performed his cover version of some of his arguments. However, let us remember that the main issues in previous debates were the threshold test, post-charge questioning and intercept evidence. It is important, in the context of the review and any decisions taken in six months if the order is passed today, that the House fully and properly understands those issues. We were told earlier that a senior person who dealt with counter-terrorism was not aware of the threshold test. Although it was not mentioned in the Home Secretary's announcement yesterday, I imagine that she is taking six months to conduct a review because she wants to roll the pitch on several issues so that, when the debate takes place, Opposition Front Benchers cannot accuse her of a knee-jerk reaction to the Lib Dem manifesto and she can show that any change has been on the basis of thorough review. I understand the tactic. However, I will vote against the order because I never believed on principle in 28-day detention. Like others, I found myself taken hostage and having to vote for 28 days because it was the only way to stop three months' detention. Let us also remember that counter-terrorism measures can be-some have proved to be-counter-productive. Not only internment, but a host of counter-terrorism measures were counter-productive in Northern Ireland. The Democratic Unionist party advocated and cheerled many of them, which ended up assisting the terrorists, partly by alienating the community from the police and making the job of community policing hard and even impossible.No, because the Home Secretary needs time to wind up the debate. In the previous debate, we were told about the comments of chief constables. I do not know the collective noun for chief constables, but they were all lined up in support of 28 days. I assume that it will take six months to sort out their line and get them on a different course. However, I recall among the good contributions in previous debates about 28-day detention those of the now Attorney-General. He clearly signalled before the election his opposition to 28 days and said that the policy would be reviewed. It is therefore not true that only the Liberals made such a proposal. As Opposition Front Benchers discover that they need to change their position on immigration, I appeal to them to wake up to civil liberties.We hear what the Attorney-General says. He indicates that the motion is about positioning and lining things up. Again, whoever is elected Leader of the Opposition to present a new, improved and restored Labour party next year must say that the party has gone back to its better instincts on civil liberties.",social-democratic-and-labour-party,liberal-democrat
24973,"The Minister just said that visible public-facing policing constitutes only a tiny proportion of what the police do. Does he think that proportion is too low and should be increased? Does the hon Gentleman recall how the Government used to stress the need to protect the front line and to put the emphasis on visible policing? But just now, the Minister said that that accounted for only a tiny proportion of activity and he seemed very happy with that and had no desire to increase it.",ukip,labour
4934,"I thank the Secretary of State and other hon Members for their comments on the incident at my party's headquarters this morning. As hon Members may know, an envelope containing a device and addressed to me was being opened by one of my researchers when the device was activated. Had it operated in the way in which the people who made it planned, that gentleman could have received fatal injuries. What happened was a very serious incident in itself. I say to the hon Member for Grantham and Stamford , who speaks for the Opposition, that I, too, hope that, like those who sent a letter bomb to my constituency office some time ago, the people responsible for today's incident will be apprehended. I am sure that the police will spare no effort in that regard. We have always been opposed, and we continue to be opposed, to guillotines. They are wrong in principle and in this case. However, we are realistic and we know that the Government have a majority. We welcome very much the comments and support of the hon Member for Thurrock , but even reinforced by that formidable support we would be unlikely to defeat the Government were the motion pressed to a vote, so I shall not speak at great length. Two points will suffice. First, the Bill is unnecessary and should not have been introduced. It would not have been if the Government had thought the matter through clearly. There is a conflict between the Northern Ireland Acts of 1998 and 2000. Conflict has been clear, and inconsistency has been clear for some time. Any simple thought by the Government from October onwards would have made them realise that there was a problem that could and should have been resolved. There was plenty of opportunity to resolve the problem, but rather than doing so, people waited to the last minute, hoping that somehow it would go away. It has not. That is unnecessary; with a little bit of thought, the Government could have dealt with it. As the Government failed to think the matter through and to act, it is unfair that hon Members should be penalised by lack of time. The Government could either have given more time after 10 o'clock or followed the good example of the other place and allocated another day. There is plenty of time for that, given the business that the Government have scheduled for the rest of the week. Secondly, until a few minutes ago, I was under the impression that the Opposition line was to make their point on the guillotine, but not to divide the House. That will only penalise us, as we will lose another 15 to 20 minutes. I ask the hon Member for Grantham and Stamford to think.",uup,labour
29506,"First of all, it is good to be back after two years’ enforced sabbatical. I thank the 50.5% of my constituents who voted for me, and the 49.5% who did not: I wish to serve them all. I also wish to declare an interest. In my two years’ enforced sabbatical, I spent 18 months on a voluntary basis visiting other legislatures, Parliaments and politicians to discuss the issue of mindfulness, and I was also paid for a six-month period to do that. I shall begin with some stark statistics. The World Health Organisation says that by 2030, the biggest health burden on the planet will be depression. We are heading that way, as we have a crisis in mental health in this country and across the western world. A parliamentary question that was answered some years ago revealed that 32.3% of young people between 15 and 25 have one or more psychiatric conditions. Some 90% of prisoners have psychiatric conditions when they enter prison, and 78% of students, according to the National Union of Students, suffer from stress, anxiety or depression. Those are terrible statistics, but the most worrying statistic of all is that in 1991, 9 million antidepressant prescriptions were issued; last year it was 65 million. There has been a huge increase in the issuing of antidepressants in this country. There are alternatives. Improved Access to Psychological Therapies—IAPT—was introduced in 2008. It is a runaway success, but it needs more funding. Mindfulness was approved by the National Institute for Health and Clinical Excellence in 2004 for repeat-episode depression—in other words, the worst type of depression has the best response to mindfulness. Yet its take-up within the national health service has been minimal. I urge the Minister to look at why. The hon Member for Totnes  made an appeal to her hon Friends to look to the expertise in the House to help develop mental health policy in this place. I urge Health Ministers to look at the “Mindful Nation UK” report, which was put together by the all-party parliamentary group on mindfulness. At its launch 18 months ago, there were three Conservative Ministers: the sports Minister, the hon Member for Chatham and Aylesford ; the former mental health Minister, the right hon Member for North East Bedfordshire ; and a former Secretary of State, the right hon Member for Loughborough . There is consensus on this issue. I urge the Minister to work on this consensus, across all parties, on the important issue of mental health and mindfulness. I am talking about not only helping people who may be unbalanced to get back to a balanced position but about human flourishing, which mindfulness can help with. Our report considered mindfulness in education, the criminal justice system, the workplace and healthcare. Mental health should not be in a silo. Policy should be developed across the piece. I welcome the inclusion of mental health in the Queen’s Speech, but Ministers and the Prime Minister will be judged on deeds, not words. We need the money to take forward these measures.",labour,independent
15809,"Over the last few years, the thing that I have heard most from business-whether it be from the Federation of Small Businesses, the chambers of commerce or individual businesses that I have dealt with in my own business, as a parliamentary candidate or, for the past 10 months or so, as an MP-is that there is too much regulation. My hon Friend the Member for Northampton South  made the point extremely well earlier, and just how much of a predicament that poses for business growth cannot be underestimated. It really does hamper too many business men, particularly those in small businesses, who spend too much of their time dealing with regulation. They spend more time dealing with that and feeding back data than they ever do in developing and selling their businesses. That has got to stop. I congratulate the Government on taking steps to deal with it. Business is unlikely to thank the Labour party or Opposition Members for tabling this motion. When business people look through it, they will find that it contains nothing positive about either this country's business or what the Labour party suggests should be done about it. Perhaps we are back to the original blank sheet of paper; I suspect that it will stay like that for some time yet. What business is more interested in is not the clunking fist of Whitehall that pulls a lever and delivers a box that it has to fit into-through some fictionally created regional development agency that was simply not delivering-but the opportunity to develop its own destiny. In my area, for example, the New Anglia local enterprise partnership is excited about the opportunities available for Norfolk and Suffolk businesses to work together. It is something that they desired, which they brought forward themselves, and it is led by the business community. This is not a Government quango or something directed from Whitehall, but something that the businesses want, working on issues that they want to work on. That is hugely important to the LEP. It is why organisations ranging from Adnams and the Federation of Small Businesses to the energy industry and companies such as Lotus are excited about what this can deliver. It has been fantastic to see businesses working together, and with local authorities, to deliver the LEP for our area. The key is the ""L"" in ""LEP""-local. The LEP can look at what Norfolk and Suffolk want and need. That is why it is able to focus correctly on tourism, for example, or other industries that can create jobs and develop the economy more quickly and more cheaply than almost anything else. Energy, as I say, is also hugely important to our region. The energy industry in our area is represented largely by an organisation called the East of England Energy Group, which brings together private companies, which fund it, support it and work together within it. The LEP has recognised that and is working with the energy industry. One important shortage is skills. There is a huge gap between the demand for skills in the energy industry-we have a burgeoning energy industry, with even more to come from renewable energy and wind farms-and what is currently available. That is why I congratulate the Department and the Minister for Further Education, Skills and Lifelong Learning on the great work already done. As we have just heard, they are now delivering more than 100,000 apprenticeships for various ages. Potentially even more important is the fact that colleges will have the freedom to develop the skill sets that people need in their local areas to deliver for business. The energy industry in my region has been screaming out for some time, but it has not been telling me about the great work that the RDAs were doing or thanking the previous Government for what they did. It has been saying, ""We need freedom from regulation, and we need to be able to develop skills for the future."" I urge the Minister and his Department to view carefully and sympathetically the bid from Norfolk and Suffolk for a skills centre that would focus particularly on the delivery of skills for the energy industry. The Government's moves to free up colleges, create apprenticeships and invest money are enabling us to develop the skill sets that our country, and in particular my region, need. It is that development of skill sets that will deliver growth, and it is that education and those apprentices that will enable our economy to develop. I congratulate the Department, and our Government as a whole, on the fantastic work that they are doing in that regard. It is just a shame that the Opposition seem to have no ideas of their own to take us forward.",conservative,conservative
235,"As my hon Friend the Member for Daventry  said, the amendment seeks to end a distortion introduced by clause 30. The Government contend that by removing the ability of non-taxpayers to retain their tax credits, they are removing an anomaly or distortion; but the contrary is true. All the measures in the Budget introduce a severe distortion. The explanatory note attached to clause 30 states: Currently, the system actually goes further than simply mitigating any double charge to tax. Where a person is exempt from tax, or where their tax credits exceed their tax liability, the tax credit can be paid to them. This introduces a distortion into the system. The payment of tax credits to certain shareholders means that profits paid out by a company can actually face a substantially lower effective tax charge than the profits which are retained by the company and reinvested. That is a political statement if I ever heard one. Similarly, ""The Pocket Budget"", produced with £50,000 of taxpayers' money—the so-called Inland Revenue explanatory note—makes a political statement, with which Conservative Members whole-heartedly disagree. My hon Friend the Member for Grantham and Stamford  has already explained that the imputation system does not introduce a distortion, and that removing the so-called distortion itself creates a distortion. The Inland Revenue seems content to state categorically that there is a distortion, but it is treading on a political issue—and, again, the Government are using taxpayers' money to air a political issue. That point goes to the heart of the imputation system. With your indulgence, Mr. Deputy Speaker, let me try to explain to Labour Members precisely how the imputation system works, and how the taxation of a dividend in the hands of an individual works. Let us suppose that a dividend of £80 is paid to an individual by a United Kingdom company. That £80 must be grossed up in the individual's tax return by tax credit, and the individual is therefore regarded as having received taxable income of £100. A basic-rate or lower-rate taxpayer will have £100 in his or her tax return, and will then pay tax at 23 or 20 per cent., depending on whether he or she is a basic-rate or lower-rate taxpayer. The lower-rate taxpayer will therefore have a tax bill of 20 per cent. of £100, which is £20. That £20 bill is paid by the tax credit that is attached to the dividend, so the lower-rate taxpayer will have no further liability. The basic-rate taxpayer will have a theoretical bill of £23, but he, too, will have no further tax to pay, because the tax credit received with his dividend wipes out his bill, too. We then turn to the higher rate taxpayer, who is regarded as receiving £100 of dividend income. He or she is taxed at 40 per cent. on that income, so the tax bill is £40, against which is a placed tax credit of £20, giving a final tax bill of £20. We then turn to the position of the non-taxpayer, who is again regarded as receiving £100 of gross income from the £80 dividend because the dividend has to be grossed up. On the non-taxpayer's tax return, if one is filled in, it says £100 of taxable income from dividends less the personal tax allowance—the implication being that a non-taxpayer has not yet fully used up the tax allowance—therefore the tax bill will, in effect, be zero. However, the non-taxpayer will have only a cheque for £80 in his or her hands, despite having theoretically having received income of £100. Where does the remaining £20 come from? The answer is that the non-taxpayer applies to the Inland Revenue, which sends a cheque for £20, corresponding to the tax that the company paid over to the Inland Revenue through the advance corporation tax mechanism just after the dividend was paid. The company has paid the tax of the taxpayer, but if the individual receiving the dividend is   not a taxpayer, that individual expects to get the tax back and thus be in the same position as the other two types of taxpayers in having received gross income of £100.That is how the imputation system works. As it is currently structured, there is no distortion in the system. The explanatory note goes on to say: The payment of tax credits to certain shareholders means that profits paid out by a company can actually face a substantially lower effective tax charge"". That is misleading: it is not the tax credit that creates the lower effective rate of corporation tax; it is the personal allowance of the non-taxpayer that gives rise to that beneficial effective tax rate. The personal allowance of about £4,000 means that someone earning only £4,000 per annum faces a lower effective rate of tax than someone earning £5,000 per annum; and someone earning £5,000 per annum faces a lower effective rate of tax than someone earning £6,000 per annum. That is because Parliament has decided that people on low incomes should pay a lower effective rate of tax. The House decides at every Budget that it is right that people on low incomes should pay a lower rate of tax, which is why we have the whole notion of personal allowances. The same applies to pension funds. Parliament decided that pension funds should be tax free, and the purpose to making them tax free is to encourage and help people to save for their old age. That is and should still be a priority, given that the era we are entering is one of an ever-aging population. The fact that a company appears to have a lower effective rate of tax when it distributes profits to a non-taxpayer is irrelevant, because that arises from the special status that we have deliberately attached to non-taxpayers. Parliament decreed that certain individuals should be non-taxpayers for the sound social reasons of helping people on low incomes and encouraging people to take out pensions and provide funds for their old age. The essence of the imputation system—or, as it should be called, the partial imputation system—is that the combined tax position of both the company and the shareholder is looked at. In most cases, where the shareholder pays tax, the profits distributed are taxed—broadly speaking—only once, at the rate applicable to company and shareholder. For example, a basic rate taxpayer will pay no more tax because the company from which the dividend is received has paid tax on those profits at 33 per cent. A higher-rate taxpayer will pay a little more, because he or she pays tax at 40 per cent. A UK company receiving a dividend from another UK company will pay no more tax, because the company paying the dividend has already been taxed. When a non-taxpaying shareholder receives a dividend from a UK company, the overall tax position is that the company and shareholder will have an effective rate of tax of about 15 per cent., because one half of that combination of company and shareholder—the shareholder—is not taxable, so the imputation system does not seek to extract tax from that individual. To do so would be to impose a tax that Parliament has decreed, for social reasons, should not be imposed. The new Labour Government do not understand business tax or the imputation system, so they have effectively imposed a tax that is focused solely on non-taxpayers. It is the most regressive tax ever imposed, and the amendment seeks to undo that damage. I had hoped that the amendment would be drafted a little wider, because the clause has a detrimental effect on overseas investors. My hon Friend the Member for Daventry has given a wise explanation of why the Government decided to halve the tax credit from 20 to 10 per cent., apparently in order not to contravene the treaties. Let us suppose that a United States shareholder invests in a wholly owned subsidiary in Britain. Previously, that company was able to obtain a repayment of half the tax credit, less a withholding of 5 per cent. of the net dividend plus the tax credit. That meant that the effective rate of tax for an overseas United States shareholder in a UK company was about 28 per cent. instead of 33 per cent. It was therefore attractive for US companies to own and invest in the UK. Now, however, halving the 10 per cent. tax credit leaves only 5 per cent., from which is withheld 5 per cent. of the net dividend plus the tax credit. That leaves almost nothing—in fact a repayment of only 0.25 per cent. or less is received, which will not be attractive to investors from the United States. The consequence of the measure is that it will discourage investment in the United Kingdom, yet the Budget was meant to encourage investment by companies. Overall, the clause is highly damaging to shareholders, non-taxpayers and overseas investors. Had the Government spent a little time between announcing their Budget intentions and drafting the Finance Bill, and gone to the trouble of consulting outside bodies, many of these points would have been spotted. The Government have accused Conservative Members of arrogance in the way our arguments were advanced, but the truth is that the arrogance is on the Government side. Why did they not spend a little time consulting? There seems to be no real evidence that there was any requirement to get the Finance Bill passed by 4 August—that is certainly the understanding of the Institute of Chartered Accountants in England and Wales—so the rush can only be put down to the arrogance of newly gained power. Another example of that arrogance comes in clause 39, in which there is a drafting error. The error does not appear to have been amended in the Standing Committee, yet I raised it in Committee. The Financial Secretary said to me: I am grateful to the hon Gentleman for making that point. She went on: I am happy to write to him and to other members of the Committee making our""— that is, the Government's— intentions absolutely clear. If the hon Gentleman is correct, we shall have to return to the matter.""— Of course, I have received no such letter, and the drafting error in clause 39 remains.I raised it as an example of the Government's arrogance, but I take your point,   Mr. Deputy Speaker. I hoped that the clause would be amended before Third Reading, and I am keen that the Bill should not enter the statute book containing a drafting error.I am grateful to my hon Friend for pointing that out, and I look forward to reading the letter when I sit down. I rest my case, Mr. Deputy Speaker. The amendment was drafted to try to alleviate the unjust position that clause 30 creates, particularly for non-taxpayers. Many retired people in my constituency of Bognor Regis and Littlehampton have small portfolios of shares. As a result of the Budget, after April 1999 they will no longer be able to reclaim small sums of money back from the Exchequer on receiving dividends from their small portfolios. The measure is regressive and unfair, and I hope that the Government will accept the amendment as a way of alleviating a distortion created by the Finance Bill.The hon Lady used the word ""protected"" with regard to charities. She said that charities need to be protected. I asked her from what. Perhaps I can suggest an answer: protected from the damage that clauses 30 and 19 do to charities. If she believes that charities should be protected from those devastating measures, what about pensions and non-taxpayers? Do they not also need protecting?",conservative,conservative
30893,"I thank my right hon Friend for giving way; he is being most generous. He is forensically taking apart the Opposition’s case. Was he struck, as I was, by the fact that the hon Member for Middlesbrough  did not even mention the cost of renationalisation? Across the board, the renationalisation of the utilities and the railways would cost more than £170 billion, and that is money that we simply cannot afford to spend.",conservative,conservative
16296,"On a wider point, it is a change in philosophy on the part of the UN and the international community not to tolerate those involved in the internal repression of their own populations. What is going to happen to leaders in other countries round the world who are indulging in Gaddafi-style behaviour?Does the right hon Gentleman agree that the passing of UN Security Council resolution 1973 represents a watershed moment, as the Prime Minister seemed to intimate, because of the way in which the international community now looks at the behaviour of Governments repressing the citizens of their own countries?Does the hon Gentleman believe that action in Libya now helps the case for action in the countries that he mentioned later?",scottish-national-party,conservative
